item;valor
1;0.6475409836065573
3;0.9147540983606557
47;0.6672131147540983
6;0.8327868852459016
50;0.6655737704918032
70;0.9098360655737705
101;0.9622950819672131
110;0.6114754098360655
151;0.9278688524590164
157;0.9819672131147541
163;0.8918032786885246
216;0.919672131147541
223;0.8295081967213115
231;0.7819672131147541
235;0.8852459016393442
260;0.5885245901639344
296;0.4967213114754099
316;0.7704918032786885
333;0.9180327868852459
349;0.819672131147541
356;0.4606557377049181
362;0.9442622950819672
367;0.7426229508196721
423;0.9836065573770492
441;0.9311475409836065
457;0.6885245901639344
480;0.6098360655737705
500;0.7639344262295082
527;0.639344262295082
543;0.9327868852459016
552;0.9
553;0.8934426229508197
590;0.7311475409836066
592;0.6901639344262296
593;0.5426229508196722
596;0.9016393442622951
608;0.7032786885245902
648;0.7344262295081967
661;0.919672131147541
673;0.9131147540983606
733;0.8016393442622951
736;0.798360655737705
780;0.6688524590163935
804;0.9868852459016394
919;0.8491803278688524
923;0.8868852459016393
940;0.9868852459016394
943;0.9885245901639345
954;0.9704918032786886
1009;0.9852459016393442
1023;0.978688524590164
1024;0.9901639344262295
1025;0.9590163934426229
1029;0.9426229508196722
1030;0.9754098360655737
1031;0.9606557377049181
1032;0.9344262295081968
1042;0.9311475409836065
1049;0.9655737704918033
1060;0.940983606557377
1073;0.8049180327868852
1080;0.8540983606557377
1089;0.7852459016393443
1090;0.8967213114754098
1092;0.9229508196721311
1097;0.8
1127;0.898360655737705
1136;0.7770491803278688
1196;0.6540983606557378
1197;0.7672131147540984
1198;0.6721311475409837
1206;0.8032786885245902
1208;0.8245901639344262
1210;0.6786885245901639
1213;0.7934426229508197
1214;0.760655737704918
1219;0.8639344262295082
1220;0.862295081967213
1222;0.8327868852459016
1224;0.9688524590163934
1226;0.9901639344262295
1240;0.7852459016393443
1256;0.9622950819672131
1258;0.8213114754098361
1265;0.7655737704918033
1270;0.7196721311475409
1275;0.921311475409836
1278;0.8868852459016393
1282;0.9131147540983606
1291;0.7704918032786885
1298;0.9622950819672131
1348;0.9737704918032787
1377;0.9016393442622951
1396;0.9245901639344263
